component_id,category,name,location,status,evidence,notes
CMP-OBJ-01,object_store,Local filesystem object store,auto_bioinfo/execution/objects.py + core/artifacts.py,EXISTING,checksum-addressed files under project dir,
CMP-OBJ-02,object_store,S3/MinIO object store,ports/__init__.py:ObjectStorePort,RESERVED,Protocol declared,not implemented
CMP-PORT-01,port,PlannerPort,auto_bioinfo/ports/__init__.py:22,EXISTING,Protocol; offline adapter default,RESERVED network-LLM adapter
CMP-PORT-02,port,ResourceDiscoveryPort,auto_bioinfo/ports/__init__.py:45,EXISTING,Protocol; fixture adapter default,RESERVED GEO/EuropePMC adapter
CMP-PORT-03,port,AnalysisMethodPort,auto_bioinfo/ports/__init__.py:66,EXISTING,Protocol; bulk_deg default,RESERVED containerized/Nextflow adapter
CMP-PORT-04,port,ObjectStorePort,auto_bioinfo/ports/__init__.py:85,EXISTING,Protocol,RESERVED MinIO adapter
CMP-PORT-05,port,EventStorePort,auto_bioinfo/ports/__init__.py:101,EXISTING,Protocol,RESERVED Postgres adapter
CMP-ADAPT-01,adapter,OfflineDeterministicPlanner,auto_bioinfo/adapters/offline_planner.py,PARTIAL,deterministic rule-based; no LLM,offline only by design
CMP-ADAPT-02,adapter,FixtureResourceAdapter,auto_bioinfo/adapters/fixture_resources.py,PARTIAL,serves committed fixture,no real GEO/network discovery
CMP-METHOD-01,method,bulk_deg (numpy DEG),auto_bioinfo/methods/bulk_deg.py,EXISTING,Welch t + BH FDR; claim_capability=association,real execution on fixture
CMP-METHOD-02,method,scRNA/snRNA pseudobulk donor-level,—,MISSING,not implemented,spec stage11/v1-scope; planned WP-13/route
CMP-METHOD-03,method,differential abundance / gene-set score / enrichment / meta-analysis / surface-secretome,—,MISSING,not implemented,spec stage11/12-scope
CMP-QC-01,qc,Four-layer QC engine,auto_bioinfo/quality/qc_engine.py,EXISTING,execution/data/statistical/biological checks,structured findings not bare booleans
CMP-EVID-01,evidence,EvidenceItem build + Claim synthesis,auto_bioinfo/evidence/synthesis.py,EXISTING,ceiling-capped; retains negative results,
CMP-EVID-02,evidence,Evidence DB query API,—,MISSING,no query service/API,spec section 15 Evidence query API absent
CMP-AUDIT-01,audit,Alignment auditor,auto_bioinfo/core/alignment_auditor.py,EXISTING,deterministic; ceiling+scope-drift+omission,
CMP-AGENT-01,agent,7 typed AgentSpecs + handoff protocol,auto_bioinfo/core/agent_specs.py + agent_protocol.py,EXISTING,forbidden_actions + claim ceiling enforcement,JSON-only ref handoffs
CMP-REPORT-01,report,Constrained report builder,auto_bioinfo/report.py,PARTIAL,markdown+json from claims only,no HTML/PDF (spec stage17)
CMP-REPRO-01,reproduction,Reproduction bundle build + compare,auto_bioinfo/reproduction/bundle.py,EXISTING,checksums + bitwise/tolerance compare,
CMP-ORCH-01,orchestrator,Pipeline (run==resume),auto_bioinfo/pipeline.py,EXISTING,guarded stepwise state machine; idempotent,
CMP-API-01,api,Project/Task/Artifact/Evidence/Claim REST API,—,MISSING,CLI only,spec section 15; planned WP-04
CMP-CLI-01,cli,bioauto CLI,auto_bioinfo/interfaces/cli.py,EXISTING,run/resume/inspect/export/validate,
CMP-QUEUE-01,queue,Async worker queue / outbox dispatcher,—,MISSING,synchronous in-process,planned WP-03
CMP-WORKER-01,worker,Analysis Worker (registered method exec),auto_bioinfo/pipeline.py:_execute,PARTIAL,in-process call to method,not an isolated/sandboxed worker
CMP-WORKER-02,worker,Engineering Worker (Codex-style patch unit),—,MISSING,schema only (EngineeringTaskPacket),no execution path
CMP-WORKER-03,worker,Workflow Worker (Nextflow),—,RESERVED,AnalysisMethodPort prod adapter,not implemented
CMP-SEC-01,security,Project data policy / network allowlist / secret isolation / sensitivity scan,—,MISSING,no policy enforcement layer,spec section 10; planned WP-01/config
CMP-OBS-01,observability,Structured logging / heartbeat / metrics,—,MISSING,no logging framework,spec section 11; planned WP-01
CMP-CI-01,ci,CI pipeline,ci/ci.yml,PARTIAL,install->ruff->mypy->offline unittest matrix,NOT in .github/workflows (token lacks workflow scope)
CMP-TEST-01,tests,Offline deterministic test suite,tests/,EXISTING,113 tests OK measured this branch,
CMP-DEPLOY-01,deployment,Docker Compose / container images,—,MISSING,none this stage,planned WP-01
