requirement_id,priority,mapped_tasks,current_evidence,status
REQ-SEC-01,MUST,WP-23,planned (policy/allowlist),MISSING
REQ-SEC-02,MUST,WP-14;WP-23,auto_bioinfo/core/schemas.py:197 (EngineeringTaskPacket paths),PARTIAL
REQ-SEC-03,MUST,WP-23,planned (secret isolation); D-05 offline-honored,MISSING
REQ-SEC-04,MUST,WP-22;WP-23,planned (export sensitivity scan),MISSING
REQ-SEC-05,MUST,WP-23;WP-24,auto_bioinfo/core/store.py (event log),PARTIAL
REQ-OBS-01,SHOULD,WP-24,auto_bioinfo/interfaces/cli.py (inspect),PARTIAL
REQ-SCOPE-01,MUST,WP-16;WP-17,auto_bioinfo/methods/bulk_deg.py (bulk only),PARTIAL
REQ-SCOPE-02,MUST,WP-20;WP-27,auto_bioinfo/evidence/synthesis.py (ceiling); baseline hard_stops,EXISTING
REQ-IF-01,SHOULD,WP-04,auto_bioinfo/interfaces/cli.py (CLI only),PARTIAL
REQ-ACC-01,MUST,WP-26,tests/test_pipeline_e2e.py,EXISTING
REQ-ACC-02,MUST,WP-06;WP-26,tests/test_planner_resources_alignment.py;tests/test_schemas_and_validation.py,EXISTING
REQ-ACC-03,MUST,WP-07;WP-26,tests/test_planner_resources_alignment.py,EXISTING
REQ-ACC-04,MUST,WP-07;WP-26,tests/test_planner_resources_alignment.py,EXISTING
REQ-ACC-05,MUST,WP-08;WP-09;WP-26,auto_bioinfo/adapters/fixture_resources.py (fixture only),PARTIAL
REQ-ACC-06,MUST,WP-10;WP-26,planned (feasibility report),MISSING
REQ-ACC-07,MUST,WP-10;WP-26,tests/test_pipeline_e2e.py,EXISTING
REQ-ACC-08,MUST,WP-11;WP-26,tests/test_methods_and_qc.py,EXISTING
REQ-ACC-09,MUST,WP-12;WP-26,auto_bioinfo/core/workflow_compiler.py (linear),PARTIAL
REQ-ACC-10,MUST,WP-14;WP-26,auto_bioinfo/pipeline.py:_execute,PARTIAL
REQ-ACC-11,MUST,WP-15;WP-26,tests/test_methods_and_qc.py,EXISTING
REQ-ACC-12,MUST,WP-18;WP-26,tests/test_methods_and_qc.py,EXISTING
REQ-ACC-13,MUST,WP-19;WP-26,tests/test_evidence_and_cli.py,EXISTING
REQ-ACC-14,MUST,WP-20;WP-26,tests/test_evidence_and_cli.py,EXISTING
REQ-ACC-15,MUST,WP-20;WP-26,tests/test_planner_resources_alignment.py,EXISTING
REQ-ACC-16,MUST,WP-21;WP-26,auto_bioinfo/report.py;tests/test_evidence_and_cli.py,EXISTING
REQ-ACC-17,MUST,WP-22;WP-26,tests/test_reproduction.py,EXISTING
REQ-ACC-18,MUST,WP-22;WP-26,tests/test_reproduction.py (BITWISE_IDENTICAL),EXISTING
REQ-ACC-19,MUST,WP-21;WP-26,auto_bioinfo/execution/runs.py (ledgers);alignment_auditor,PARTIAL
REQ-ACC-20,MUST,WP-25;WP-26,tests/test_failure_paths.py,EXISTING
